,ID,Метод сбора данных,Метка_Северен,Метка_Альянс,Телефон,Наименование компании,ИНН,Дата завершения интервью,MRF_МРФ,RF_Филиал РТК,Технология,TYPE_Макросегмент,SEGMENT_Сегмент,iNPS Лояльность провайдеру ШПД iU4,iNPS_OE,iSAT Удовлетворённость провайдером ШПД iU4,iTPSat1 Набор дополнительных услуг и опций   провайдера ШПД iU4,iTPSat2 Процесс подключения новых услуг провайдера ШПД iU5,iTPSat3 Оборудование провайдера ШПД iU6,iTPSat4 Сайт провайдера ШПД iU7,iTPSat5 Личный кабинет провайдера ШПД iU8,iTPSat6 Служба технической поддержки провайдера ШПД iU9,iTPSat7 Система выставления счетов  провайдера ШПД iU10,iTPSat8 Личный менеджер провайдера ШПД iU11,iTPSat9 Справочная служба провайдера ШПД iU12,iTPSat10 Офисы обслуживания  провайдера ШПД iU13,iTPSat11 Работа с претензиями провайдера ШПД iU14,iTPSat12 Тарифы  провайдера ШПД iU15,iTPSat13 Скорость Интернета  провайдера ШПД iU16,iTPSat14 Стабильность Интернета  провайдера ШПД iU17,iTPSat15 Реклама  провайдера ШПД iU18,iA1Sat1 Удовлетворённость Количеством доп. услуг и опций провайдера ШПД iU4,iA1Sat2 Удовлетворённость Понятностью предлагаемых услуг провайдера ШПД iU4,iA1Sat3 Удовлетворённость Стоимостью доп. услуг и опций провайдера ШПД iU4,iA1Sat4 Удовлетворённость Скидками на доп.услуги и опции провайдера ШПД iU4,iA1Sat5 Удовлетворённость Наличием пакетных предложений на доп.услуги и опции провайдера ШПД iU4,iA2Sat1 Удовлетворённость Удобством подключения провайдера ШПД iU4,iA2Sat2 Удовлетворённость Скоростью подключения провайдера ШПД iU4,iA2Sat3 Удовлетворённость Качеством подключения и настройки оборудования провайдера ШПД iU4,iA6Sat1 Удовлетворённость Простотой подачи обращения провайдера ШПД iU4,iA6Sat2 Удовлетворённость Удобством способов связи с техподдержкой провайдера ШПД iU4,iA6Sat3 Удовлетворённость Компетентностью специалистов провайдера ШПД iU4,iA6Sat4 Удовлетворённость Сроками решения вопросов провайдера ШПД iU4,iA6Sat5 Удовлетворённость Результатами работы по устранению неисправностей провайдера ШПД iU4,iA6Sat6 Удовлетворённость Информированием о статусе решения вопроса провайдера ШПД iU4,iA7Sat1 Удовлетворённость Понятностью счетов провайдера ШПД iU4,iA7Sat2 Удовлетворённость Своевременностью получения счетов провайдера ШПД iU4,iA7Sat4 Удовлетворённость Удобством получения счетов провайдера ШПД iU4,iA7Sat5 Удовлетворённость Возможностью получить отсрочку провайдера ШПД iU4,iA7Sat6 Удовлетворённость Корректностью  начислений в счетах провайдера ШПД iU4,iA10Sat1 Удовлетворённость Ррасположенияем и временем работы офиса провайдера ШПД iU4,iA10Sat2 Удовлетворённость Результативностью обращения в офис провайдера ШПД iU4,iA10Sat3 Удовлетворённость Скоростью решения вопроса или проблемы провайдера ШПД iU4,iA10Sat4 Удовлетворённость Компетентностью сотрудников офиса провайдера ШПД iU4,iA11Sat1 Удовлетворённость Простотой подачи претензий провайдера ШПД iU4,iA11Sat2 Удовлетворённость Сроками решения претензий провайдера ШПД iU4,iA11Sat3 Удовлетворённость Результатами работы по претензиям провайдера ШПД iU4,iA11Sat4 Удовлетворённость Удобством обращения к руководству провайдера при нерешённости претензии провайдера ШПД iU4,iA11Sat5 Удовлетворённость Решением вопроса с первого обращения без повторных обращений провайдера ШПД iU4,iA12Sat1 Удовлетворённость Соотношением цены и скорости провайдера ШПД iU4,iA12Sat2 Удовлетворённость Наличием выгодных для Вас тарифов провайдера ШПД iU4,iA12Sat3 Удовлетворённость Прозрачностью тарифов провайдера ШПД iU4,iA12Sat4 Удовлетворённость Наличием нескольких услуг на одном тарифе провайдера ШПД iU4,iA12Sat5 Удовлетворённость Наличием нужных услуг и сервисов в тарифах провайдера ШПД iU4,EQPT_Роутер или другое устройство для подключения к Интернет Вам предоставил провайдер?,CNCT_Установка и настройка роутера производилась специалистами провайдера?,REBT_Как часто в вашей компании приходится перезагружать роутер? ,ILT Срок жизни ШПД,IUsg1 Ваша компания обращалась к личному менеджеру для получения консультаций и справок по поводу тарифов и работы Интернета? ,"IUsg3 А для решения каких-либо проблем в работе Интернета, таких как низкая скорость, отсутствие Интернета? ",IUsg4 А по вопросам подключения дополнительных услуг? ,IUsg5 Ваша компания звонила в колл-центр для получения консультаций и справок по поводу тарифов и работы Интернета?,IUsg7 А по вопросам подключения дополнительных услуг?,IUsg8 Ваша компания звонила в колл-центр для решения технических проблем?,IUsg9 К Вам в офис приходили специалисты для устранения технических неполадок?,iARPU Сумма в месяц на ШПД,CompNum Кол-во сотрудников,CompAreac Сфера деятельности,RespTitle Должность респондента,"DM Лицо, принимавшиее решение о подключении ШПД",Age_Возраст респондента,Age_int Возраст респондента интервал,Gender Пол респондента,Оld_sample_Основная выборка,wt_Веса для расширенной выборки,wt_old_sample_Веса для основной выборки
1698,20200221791,CATI,,,78435121438,ИП ТОРОПОВ АНДРЕЙ ЛЬВОВИЧ,121601193717,15.10.2020,Волга,01313 Филиал в республике Татарстан,Оптика,B2B,МСП,10,потому что единственный провайдер по зданию,10.0,98.0,98.0,10.0,98.0,98.0,98.0,10.0,10.0,98.0,98.0,98.0,10.0,10.0,10.0,98.0,,,,,,,,,,,,,,,10.0,10.0,10.0,98.0,10.0,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,1.0,3.0,1.0,6.0,2.0,2.0,2.0,,,,2.0,2.0,1.0,98,8.0,2.0,31.0,3.0,2.0,1.0,"0,8","0,96"
1699,20200221796,CATI,,,78363163242,ИП ГАТИЯТУЛЛИНА ТАТЬЯНА АЛЕКСАНДРОВНА,121600324981,11.11.2020,Волга,01309 Филиал в республике Марий Эл,Оптика,B2B,МСП,10,работает как часы нет никаких проблем Оплата была бы вовремя и тогда никаких проблем с Интернетом нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1.0,"0,45","1,14"
1700,20200221968,CATI,,,79278752210,ИП ВАХРУШЕВ АНДРЕЙ НИКОЛАЕВИЧ,121300027071,23.11.2020,Волга,01309 Филиал в республике Марий Эл,Оптика,B2B,МСП,10,"не буду рекомендовать не кому , нормально работает",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,"0,45","1,14"
1701,20200222035,CATI,,,78363149933,ИП РОМАНОВА ЛЮДМИЛА ВЛАДИМИРОВНА,120101505028,20.10.2020,Волга,01309 Филиал в республике Марий Эл,Оптика,B2B,МСП,10,"хорошая организация,все во время",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1.0,"0,45","1,14"
1702,20200222224,CATI,,,79196004656,ИП САЙФУЛЛИН РУСТЭМ СУЛТАНГАЛЕЕВИЧ,27502051540,27.11.2020,Волга,01306 Самарский филиал (Республика Башкортостан),Оптика,B2B,МСП,10,меня устраивает обслуживание и отношение -заявки выполняются качественно- у меня с ними проблем нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"1,23","1,62"
1703,20200222235,CATI,,,78336521296,"ООО АГРОФИРМА ""ПРИГОРОДНАЯ""",4336003405,30.11.2020,Волга,01302 Кировский филиал,Медь,B2B,3К,10,"ИТ сотовый не везде ловит, а РТ проводной - провода можно везде проложить, а вышки для сотовых телефонов не везде стоят",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,"0,6","1,23"
1704,20200222398,CATI,,,79659484411,СТРЕДИНИН АЛЕКСАНДР ИВАНОВИЧ,27006493622,27.11.2020,Волга,01306 Самарский филиал (Республика Башкортостан),Оптика,B2B,МСП,10,стабильность быстрое решение проблем,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,"1,23","1,62"
1705,20200222449,CATI,,,79033118763,УСМАНОВ ИЛЬДАР ИЛДУСОВИЧ,27000951146,27.11.2020,Волга,01306 Самарский филиал (Республика Башкортостан),Оптика,B2B,МСП,10,"нас пока ростелеком, другого нет ,если бы конкурент был, подешевле было бы ростелеком, хотелось дешевле интернет",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,"1,23","1,62"
1706,20200222521,CATI,,,73476761111,ИП ШАФИКОВА ДИНА РИФАТОВНА,26907700921,25.11.2020,Волга,01306 Самарский филиал (Республика Башкортостан),Оптика,B2B,МСП,10,ну как бы всегда интернет работает я как бухгалтер предоставляю отчеты по банкам всегда позвонят если вдруг оплаты нет или не сели денежки всегда уточнят,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,"1,23","1,62"
1707,20200222685,CATI,,,78332648599,"ООО ""КВАРТАЛ""",4345056097,25.11.2020,Волга,01302 Кировский филиал,Медь,B2B,3К,10,"высокое качество обслуживания, высокая передача данных, быстрое обслуживание клиентов, очень грамотные вежливые сотрудники, особенно менеджер по продажам и ценны соответствуют качеству услуг",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,"0,6","1,23"
1708,20200222766,CATI,,,79374877146,ИП ПАРАМОНОВА ИРИНА АХАТОВНА,26703985676,27.11.2020,Волга,01306 Самарский филиал (Республика Башкортостан),Оптика,B2B,МСП,10,очень удобно работает всегда- вылетели камеры всё быстро восстановили,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,"1,23","1,62"
1709,20200222778,CATI,,,79177547610,ТРОФИМОВА ЕЛЕНА МИХАЙЛОВНА,26703489364,30.11.2020,Волга,01306 Самарский филиал (Республика Башкортостан),Оптика,B2B,МСП,10,"если неполадки, вовремя всегда приезжают. замена запчастей бесплатно. чудесная связь. только немного дороговато, если бы было подешевле, было прекрасно",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,"1,23","1,62"
1710,20200222806,CATI,,,79273174448,САЛИМОВ ФАРИТ ФАЗЫЛЬЯНОВИЧ,26700031209,15.10.2020,Волга,01306 Самарский филиал (Республика Башкортостан),Медь,B2B,МСП,10,"скорость и надежность Башинформсвязь надежнее.При неисправностях, исправляют быстро проблему",10.0,1.0,98.0,98.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,98.0,9.0,10.0,9.0,98.0,9.0,98.0,98.0,98.0,98.0,,,,10.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,9.0,3.0,9.0,9.0,9.0,,1.0,2.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,98,98.0,1.0,57.0,6.0,1.0,1.0,"1,26","1,36"
1711,20200222870,CATI,,,79173431063,ИП КАЛОЕРОВ ПАВЕЛ АЛЕКСЕЕВИЧ,26602722511,27.11.2020,Волга,01306 Самарский филиал (Республика Башкортостан),Оптика,B2B,МСП,10,"нас все устраивает, скорость хорошая и оплата приемлемая, что немаловажно.  как потребитель, хотелось бы минимизировать стоимость. в такое тяжелое время, непросто время-это самое главное, ну конечно и качество. минимизировать стоимость, уменьшить стоимость.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"1,23","1,62"
1712,20200224293,CATI,,,79050116115,"ООО ""АМЕДИ ВОЛГА""",9709024336,24.11.2020,Волга,01303 Нижегородский филиал,Оптика,B2B,МСП,10,давно с ними работаем за все время работы с ними провалов не было если были устранялись быстро есть персональный менеджер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,"1,44","1,39"
1713,20200224311,CATI,,,79082341222,"ООО ""НОРТИ""",9102200598,14.10.2020,Волга,01311 Филиал в Удмуртской республике,Оптика,B2B,МСП,10,"ценовая политика, стабильность связи",10.0,98.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,98.0,10.0,8.0,8.0,8.0,10.0,10.0,,,,,,10.0,8.0,10.0,8.0,7.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,98.0,8.0,98.0,98.0,98.0,98.0,4.0,6.0,9.0,98.0,7.0,7.0,7.0,10.0,10.0,8.0,2.0,2.0,2.0,6.0,2.0,1.0,1.0,,,,1.0,2.0,1.0,1,7.0,1.0,38.0,4.0,1.0,1.0,"1,39","2,28"
1714,20200224344,CATI,,,78317361091,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ КОНСТРУКЦИОННЫХ МАТЕРИАЛОВ ""ПРОМЕТЕЙ""",7838431079,26.11.2020,Волга,01303 Нижегородский филиал,Медь,B2B,МСП,10,"потому что работает хорошо, если что-то какие-то проблемы быстро приезжают и устраняют всё",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,"1,31","1,38"
1715,20200225056,CATI,,,79226655889,"ЮЖНО-УРАЛЬСКИЙ ФИЛИАЛ ПАО ""САК ""ЭНЕРГОГАРАНТ""",7705041231,27.11.2020,Волга,01306 Самарский филиал (Республика Башкортостан),Mix,B2B,МСП,10,"всё устраивает, интернет работает хорошо",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,"0,89","1,05"
1716,20200225167,CATI,,,78363894607,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ МАРИЙ ЭЛ ""СОВЕТСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",1213003054,11.11.2020,Волга,01309 Филиал в республике Марий Эл,Mix,B2G,3К,10,"Других же нет, удобный Интернет, быстрый, работает без помех.Дороговато услуги Ростелеком",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,1.0,"0,34","0,25"
1717,20200225418,CATI,,,78422440307,"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННОЕ ЮРИДИЧЕСКОЕ БЮРО УЛЬЯНОВСКОЙ ОБЛАСТИ ИМЕНИ И.И. ДМИТРИЕВА""",7328504700,30.10.2020,Волга,01308 Ульяновский филиал,Mix,B2G,МСП,10,За постоянный сигнал и скорость интернета.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,"0,89","0,73"
1718,20200225492,CATI,,,78422261110,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УЛЬЯНОВСКИЙ ЗАВОД НЕСТАНДАРТНОГО ОБОРУДОВАНИЯ""",7328080105,02.11.2020,Волга,01308 Ульяновский филиал,Оптика,B2B,МСП,10,во время приезжают вовремя устраняют неполадки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,1.0,"0,91","1,4"
1719,20200226047,CATI,,,79378842967,"ООО ""СВОБОДА""",7325137603,14.10.2020,Волга,01308 Ульяновский филиал,Оптика,B2B,МСП,10,"у нас все хорошо, подключен интернет к зданию только Ростелеком нас все устраивает",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,"0,91","1,4"
1720,20200226118,CATI,,,78362456927,"АО СК ""РСХБ-СТРАХОВАНИЕ""",3328409738,28.10.2020,Волга,01309 Филиал в республике Марий Эл,Оптика,B2B,3К,10,Бесперебойные услуги интернета связи все нормально наладились условия с работниками ростелекома,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,"0,45","1,14"
1721,20200226282,CATI,,,78422412621,"ОГБУК ""УЛЬЯНОВСКИЙ ОБЛАСТНОЙ ХУДОЖЕСТВЕННЫЙ МУЗЕЙ""",7325031124,15.10.2020,Волга,01308 Ульяновский филиал,Медь,B2G,МСП,10,ЗА качество услуг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,"0,57","1,57"
1722,20200226484,CATI,,,78423321633,"АО ""СЕНГИЛЕЕВСКОЕ АВТОТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ""",7321312759,02.11.2020,Волга,01308 Ульяновский филиал,Mix,B2B,МСП,10,Все устраивает,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,1.0,"0,89","0,73"
1723,20200226550,CATI,,,78425434478,"МБУ ДО ""ТИМИРЯЗЕВСКАЯ ДШИ""",7321022104,11.11.2020,Волга,01308 Ульяновский филиал,Оптика,B2G,МСП,10,"Качество. Качество связи, скорость.. у нас другой альтернативы в любом случае нет. У нас только Ростелеком, либо модем сотовой связи, но здесь плохая связь, просто вариантов нет другое рекомендовать или использовать.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,1.0,"0,91","1,4"
1724,20200226563,CATI,,,79084715070,МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШУМОВСКАЯ СРЕДНЯЯ ШКОЛА,7321020587,10.11.2020,Волга,01308 Ульяновский филиал,Медь,B2G,МСП,10,"хороший интернет,быстрый.Техническая пооддержка,устранение неполадок своевременно.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,1.0,"0,57","1,57"
1725,20200226592,CATI,,,78425572757,"ООО ""ПРОИЗВОДСТВЕННАЯ ТОРГОВО-КОММЕРЧЕСКАЯ ФИРМА ""ВОСХОД""",7321003662,23.10.2020,Волга,01308 Ульяновский филиал,Оптика,B2B,МСП,10,во всяком случае все работает,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,"0,91","1,4"
1726,20200226658,CATI,,,78423022199,ОГБПОУ СМТТ,7318004610,23.10.2020,Волга,01308 Ульяновский филиал,Оптика,B2G,МСП,10,во первых есть лояльность тарифа обговорить сумму получить тот же интернет если связанно с оптика это стабильно постоянно и цена более менее подходящее тарифы лояльные соответственно цена-и за эту цену мы получаем без лимит,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,"0,91","1,4"
1727,20200226728,CATI,,,79084775787,"ФИНАНСОВОЕ УПРАВЛЕНИЕ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""СЕНГИЛЕЕВСКИЙ РАЙОН"" УЛЬЯНОВСКОЙ ОБЛАСТИ",7316002656,15.10.2020,Волга,01308 Ульяновский филиал,Оптика,B2G,МСП,10,"Не жалуемся, у нас хорошая скорость, все нормально, никаких сбоев, очень редко, если там какой-то сильный ветер, не знаю, столбы когда сносит, а так в порядке. Ни на качество, ни на цену, мы не жалуемся.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,"0,91","1,4"
1728,20200226810,CATI,,,78423723420,"МБУ ""КУЗОВАТОВСКОЕ ГОРОДСКОЕ ХОЗЯЙСТВО"" МО КУЗОВАТОВСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ КУЗОВАТОВСКОГО РАЙОНА УЛЬЯНОВСКОЙ ОБЛАСТИ",7313011074,30.10.2020,Волга,01308 Ульяновский филиал,Оптика,B2G,МСП,10,интренет нормальный хогроший все быстро везде заходим,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,"0,91","1,4"
1729,20200226814,CATI,,,78424923036,"МКУ ""ОТДЕЛ АДМИНИСТРАТИВНО-ХОЗЯЙСТВЕННОГО ОБЕСПЕЧЕНИЯ АДМИНИСТРАЦИИ МО МОСТЯКСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ""",7313009011,15.10.2020,Волга,01308 Ульяновский филиал,Медь,B2G,МСП,10,"Не готовы. Но нам нравится. Каждому своё нравится, а для нас это самое выгодное и приемлемое.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,"0,57","1,57"
1730,20200226830,CATI,,,78423921522,"МКУ ""НАДЕЖДА"" МО РАДИЩЕВСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ РАДИЩЕВСКОГО РАЙОНА УЛЬЯНОВСКОЙ ОБЛАСТИ",7313007180,30.10.2020,Волга,01308 Ульяновский филиал,Медь,B2G,МСП,10,у нас все качественно работает,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,"0,57","1,57"
1731,20200226841,CATI,,,78423721279,"ООО ""КУЗОВАТОВСКАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ""",7313005666,11.11.2020,Волга,01308 Ульяновский филиал,Медь,B2B,МСП,10,"другого нет интернета, все устраивает",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,1.0,"0,57","1,57"
1732,20200226893,CATI,,,78423823052,"МУ ДО ""НОВОСПАССКАЯ ДЕТСКО-ЮНОШЕСКАЯ СПОРТИВНАЯ ШКОЛА""",7313003041,11.11.2020,Волга,01308 Ульяновский филиал,Оптика,B2G,МСП,10,высокое качество интеренета,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,1.0,"0,91","1,4"
1733,20200226980,CATI,,,78424841142,АДМИНИСТРАЦИЯ МО БАКЛУШИНСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ ПАВЛОВСКОГО РАЙОНА УЛЬЯНОВСКОЙ ОБЛАСТИ,7311005220,23.10.2020,Волга,01308 Ульяновский филиал,Медь,B2G,МСП,10,за то что работают,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,"0,57","1,57"
1734,20200227051,CATI,,,78423073338,"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПРИБРЕЖНЕНСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ""",7310100632,30.10.2020,Волга,01308 Ульяновский филиал,Медь,B2G,МСП,10,все устраивает,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,"0,57","1,57"
1735,20200227241,CATI,,,78423721087,МБОУ СШ № 3 Р.П. КУЗОВАТОВО,7308003536,11.11.2020,Волга,01308 Ульяновский филиал,Медь,B2G,МСП,10,"при хорошем тарифе хорошая скорость, удобство обслуживания,другого нет провайдера здесь",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,"0,57","1,57"
1736,20200227291,CATI,,,78425323404,"ООО ""УПРАВДОМ""",7306041014,23.10.2020,Волга,01308 Ульяновский филиал,Оптика,B2B,МСП,10,ну как бы бесперебойно работает нет каких то таких  вообще устраивает,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,"0,91","1,4"
1737,20200227320,CATI,,,78424052145,АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ЛАПШАУРСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ,7306037427,23.10.2020,Волга,01308 Ульяновский филиал,Медь,B2G,МСП,10,качество связи и своевременное обслуживание,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,"0,57","1,57"
1738,20200227558,CATI,,,79025889016,"ОГБПОУ  ""БАРЫШСКИЙ ИНДУСТРИАЛЬНО-ТЕХНОЛОГИЧЕСКИЙ ТЕХНИКУМ""",7301001850,23.10.2020,Волга,01308 Ульяновский филиал,Оптика,B2G,МСП,10,из того что мы привыкли нас все устраивают с техподдержкой проблем нет нас все устраивает,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,"0,91","1,4"
1739,20200227594,CATI,,,79042651947,ФГБНУ ФНЦ ЛК,6902024882,05.11.2020,Волга,01305 Пензенский филиал,Оптика,B2G,МСП,10,"За качество и скорость интернета, техническая поддержка устраивает",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,1.0,"0,81","1,32"
1740,20200228047,CATI,,,79272774864,"ООО ""РИО-ПОВОЛЖЬЕ""",6452934790,13.10.2020,Волга,01307 Саратовский филиал,Оптика,B2B,МСП,10,"за стабильный интернет, хороший, главное -интернет.",10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,1.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1,98.0,1.0,43.0,4.0,1.0,1.0,"1,05","1,41"
1741,20200228770,CATI,,,78459527793,ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ ЦЕНТР ЗАНЯТОСТИ НАСЕЛЕНИЯ ГОРОДА ХВАЛЫНСКА,6448008638,27.11.2020,Волга,01307 Саратовский филиал,Оптика,B2G,МСП,10,"все устраивает, скорость, я не компетентна в остальном",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,"1,05","1,41"
